"Give the information for ALL dependences in the table below for the following loop nests.
Afterwards use the pushbutton below to safe the file in .csv format. This new file has to be submitted at the tutorial website.
Please consider to enable macros:
(Tools → Options → LibreOffice → Security → Macro Settings → set to Medium)";;;;;;;;;;;;
;;;;;;;;;;;;
Exercise 1;;;;;;;;;;;;
"    for (i=1; i<n; i++) {
S1: A(i+1) = A(i-1) + 3*B(i)
S2: C(i) = 2*C(i+1)
S3: B(i) = A(i) + C(i+2)
}";;;;;;;;;;;;
;;;;;;;;;;;;
No;Source;Sink;Type;Dependence Type;Distance Vector;;;;Direction Vector;;;
1-1:;S1: A(i+1);S1: A(i-1);Loop carried;True dependence;(;2;;);(;<;;)
1-2:;S2: C(i+1);S2: C(i);Loop carried;Antidependence;(;1;;);(;<;;)
1-3:;S1: B(i);S3: B(i);Independent;Antidependence;(;0;;);(;=;;)
1-4:;S1: A(i+1);S3: A(i);Loop carried;True dependence;(;1;;);(;<;;)
1-5:;S3: C(i+2);S2: C(i);Loop carried;Antidependence;(;2;;);(;<;;)
1-6:;;;;;(;;;);(;;;)
;;;;;;;;;;;;
Exercise 2;;;;;;;;;;;;
"    for (i=1; i<n; i++) {
for (j=1; j<m; j++) {
S1: B(i,j) = B(i,j+2) + A(i-1,j+1)
S2: A(i+1,j) = A(i-1,j) * B(i+1,j-1)
}
}";;;;;;;;;;;;
;;;;;;;;;;;;
No;Source;Sink;Type;Dependence Type;Distance Vector;;;;Direction Vector;;;
2-1:;S1: B(i,j+2);S1: B(i,j);Loop carried;Antidependence;(;0;2;);(;=;<;)
2-2:;S2: A(i+1,j);S2: A(i-1,j);Loop carried;True dependence;(;2;0;);(;<;=;)
2-3:;S2: A(i+1,j);S1: A(i-1,j+1);Loop carried;True dependence;(;2;-1;);(;<;>;)
2-4:;S2: B(i+1,j-1);S1: B(i,j);Loop carried;Antidependence;(;1;-1;);(;<;>;)
2-5:;;;;;(;;;);(;;;)
2-6:;;;;;(;;;);(;;;)
;;;;;;;;;;;;
Exercise 3;;;;;;;;;;;;
"    for (i=1; i<3; i++) {
for (j=1; j<3; j++) {
S1: B(2*i,j) = A(i,3-j)
S2: A(i,j) = B(i+2,j+1)
}
}";;;;;;;;;;;;
;;;;;;;;;;;;
No;Source;Sink;Type;Dependence Type;Distance Vector;;;;Direction Vector;;;
3-1:;S2: B(i+2,j+1);S1: B(2*i,j);Loop carried;Antidependence;(;0;1;);(;=;<;)
3-2:;S1: A(i,3-j);S2: A(i,j);Loop carried;Antidependence;(;0;1;);(;=;<;)
3-3:;S2: A(i,j);S1: A(i,3-j);Loop carried;True dependence;(;0;1;);(;=;<;)
3-4:;;;;;(;;;);(;;;)
3-5:;;;;;(;;;);(;;;)
3-6:;;;;;(;;;);(;;;)
;;;;;;;;;;;;
Exercise 4;;;;;;;;;;;;
"    for (i=1; i<n; i++) {
for (j=1; j<m; j++) {
S1: A(i,j) = B(2*i,j)
S2: C(2*i,j) = C(i,j-1) + A(i+1,j-1)
}
}";;;;;;;;;;;;
;;;;;;;;;;;;
No;Source;Sink;Type;Dependence Type;Distance Vector;;;;Direction Vector;;;
4-1:;S2: A(i+1,j-1);S1: A(i,j);Loop carried;Antidependence;(;1;-1;);(;<;>;)
4-2:;S2: C(2*i,j);S2: C(i,j-1);Loop carried;True dependence;(;I;1;);(;<;<;)
4-3:;;;;;(;;;);(;;;)
4-4:;;;;;(;;;);(;;;)
4-5:;;;;;(;;;);(;;;)
4-6:;;;;;(;;;);(;;;)
;;;;;;;;;;;;
5-5:;;;;;(;;;);(;;;)
5-6:;;;;;(;;;);(;;;)
